cell_line,compound,concentration_uM,replicate,viability_percent
MIA PaCa-2,ExampleCompoundA,30.0,2,2.902194433123693
MIA PaCa-2,ExampleCompoundA,30.0,3,5.4793212159988745
BxPC-3,ExampleCompoundA,0.001,1,98.03179382804687
BxPC-3,ExampleCompoundA,0.001,2,99.20585487277276
BxPC-3,ExampleCompoundA,0.001,3,95.52315088340391
BxPC-3,ExampleCompoundA,0.003,1,95.07684340365668
BxPC-3,ExampleCompoundA,0.003,2,103.11177318955615
BxPC-3,ExampleCompoundA,0.003,3,105.28663001426266
BxPC-3,ExampleCompoundA,0.01,1,99.30426532118238
BxPC-3,ExampleCompoundA,0.01,2,103.60643739907182
BxPC-3,ExampleCompoundA,0.01,3,101.03884990769426
BxPC-3,ExampleCompoundA,0.03,1,96.33117908237939
BxPC-3,ExampleCompoundA,0.03,2,100.35724052283354
BxPC-3,ExampleCompoundA,0.03,3,105.06380436666376
BxPC-3,ExampleCompoundA,0.1,1,96.70741362331177
BxPC-3,ExampleCompoundA,0.1,2,103.1092924030076
BxPC-3,ExampleCompoundA,0.1,3,86.3717373633926
BxPC-3,ExampleCompoundA,0.3,1,95.24997981771155
BxPC-3,ExampleCompoundA,0.3,2,92.31055807316334
BxPC-3,ExampleCompoundA,0.3,3,90.76634039834718
BxPC-3,ExampleCompoundA,1.0,1,79.83993557600311
BxPC-3,ExampleCompoundA,1.0,2,71.52261681145754
BxPC-3,ExampleCompoundA,1.0,3,78.59420491851105
BxPC-3,ExampleCompoundA,3.0,1,60.4515067004165
BxPC-3,ExampleCompoundA,3.0,2,64.93463259333558
BxPC-3,ExampleCompoundA,3.0,3,56.949975541274924
BxPC-3,ExampleCompoundA,10.0,1,29.53490612709356
BxPC-3,ExampleCompoundA,10.0,2,30.761852364328163
BxPC-3,ExampleCompoundA,10.0,3,36.430489009474606
BxPC-3,ExampleCompoundA,30.0,1,16.665025854323623
BxPC-3,ExampleCompoundA,30.0,2,13.230980600616732
BxPC-3,ExampleCompoundA,30.0,3,17.403091148138312
